schemaname,relname,reltuples
public,ismember,8008
public,city,3111
public,province,1450
public,located,857
public,geo_river,851
public,geo_sea,735
public,ethnicgroup,540
public,religion,454
public,locatedon,434
public,geo_island,418
public,islandin,349
public,borders,320
public,geo_mountain,297
public,island,276
public,geo_estuary,265
public,geo_lake,253
public,encompasses,242
public,mountain,240
public,country,238
public,population,238
public,economy,238
public,politics,238
public,geo_source,219
public,river,218
public,geo_desert,154
public,organization,153
public,language,144
public,lake,130
public,mountainonisland,69
public,desert,63
public,mergeswith,54
public,sea,34
public,continent,5

